a52dec 0.8.0-2
networkmanager 1.48.8-1
networkmanager-openvpn 1.12.0-1
networkmanager-qt 6.5.0-1
nginx 1.26.2-1
ngrok 3.14.0-1
ninja 1.12.1-1
node-gyp 10.2.0-1
nodejs 22.6.0-1
noto-fonts 1:24.8.1-1
noto-fonts-emoji 1:2.042-1
ntfs-3g 2022.10.3-1
numactl 2.0.18-1
nvm 0.40.0-1
obs-studio 30.2.1-1
obsidian 1.6.7-1
ocean-sound-theme 6.1.4-1
ocl-icd 2.3.2-2
okular 24.05.2-1
openbsd-netcat 1.226_1-2
opencore-amr 0.1.6-2
openexr 3.2.4-1
openssh 9.8p1-1
os-prober 1.81-2
ostree 2024.7-1
oxygen 6.1.4-1
oxygen-sounds 6.1.4-1
p7zip 1:17.05-2
pacman-contrib 1.10.6-1
pamixer 1.6-3
pangomm 2.46.4-1
partitionmanager 24.05.2-1
pass 1.7.4-5
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pipewire 1:1.2.2-2
pipewire-audio 1:1.2.2-2
pipewire-pulse 1:1.2.2-2
pipewire-session-manager 1:1.2.2-2
plasma-activities 6.1.4-1
plasma-activities-stats 6.1.4-1
plasma-browser-integration 6.1.4-1
plasma-desktop 6.1.4-1
plasma-disks 6.1.4-1
plasma-firewall 6.1.4-1
plasma-integration 6.1.4-1
plasma-meta 6.1-1
plasma-nm 6.1.4-1
plasma-pa 6.1.4-1
plasma-systemmonitor 6.1.4-1
plasma-thunderbolt 6.1.4-1
plasma-vault 6.1.4-1
plasma-welcome 6.1.4-1
plasma-workspace 6.1.4-1
plasma-workspace-wallpapers 6.1.4-1
plasma5support 6.1.4-1
playerctl 2.4.1-4
plocate 1.1.22-1
polkit-explorer-git 15.fac8d70-4
polkit-gnome 0.105-11
polkit-kde-agent 6.1.4-1
polkit-qt6 0.200.0-1
poppler 24.08.0-1
poppler-qt6 24.08.0-1
portal-bin 1.2.3-1
portaudio 1:19.7.0-3
postgresql 16.3-3
postman-bin 11.7.0-1
power-profiles-daemon 0.21-1
powerdevil 6.1.4-1
ppp 2.5.0-3
preload 0.6.4-9
print-manager 1:6.1.4-1
prison 6.5.0-1
pulse-native-provider 1:1.2.2-2
pulseaudio-qt 1.5.0-1
purpose 6.5.0-1
python 3.12.4-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-bcrypt 4.1.3-1
python-certifi 2024.07.04-1
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-colorama 0.4.6-3
python-cryptography 42.0.7-1
python-dbus 1.3.2-4
python-decorator 5.1.1-4
python-distro 1.9.0-2
python-dnspython 1:2.6.1-1
python-fastjsonschema 2.20.0-1
python-gnupg 0.5.2-2
python-gobject 3.48.2-2
python-idna 3.7-1
python-inflect 7.3.1-1
python-jaraco.classes 3.4.0-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jeepney 0.8.0-3
python-jinja 1:3.1.4-1
python-keyring 25.2.1-1
python-lxml 5.3.0-1
python-mako 1.3.5-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pip 24.2-1
python-platformdirs 4.2.2-1
python-psutil 6.0.0-1
python-pycparser 2.22-2
python-pygdbmi 0.11.0.0-4
python-pyinotify 0.9.6-14
python-pyopenssl 24.2.1-1
python-pyqt5 5.15.11-1
python-pyqt5-sip 12.15.0-1
python-pyte 0.8.2-3
python-pythondialog 3.5.3-3
python-pyusb 1.2.1-5
python-pyxdg 0.28-3
python-requests 2.32.3-1
python-secretstorage 3.3.3-5
python-sentry_sdk 2.13.0-1
python-setuptools 1:69.5.1-1
python-shtab 1.7.1-1
python-six 1.16.0-9
python-systemd 235-3
python-termcolor 2.4.0-2
python-tomli 2.0.1-4
python-trove-classifiers 2024.7.2-1
python-typeguard 4.3.0-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.19-1
python-validate-pyproject 0.19-1
python-wcwidth 0.2.13-2
python-wheel 0.44.0-1
python-yaml 6.0.2-1
qca-qt6 2.3.9-2
qcoro-qt6 0.10.0-1
qemu-common 9.0.2-1
qemu-system-x86 9.0.2-1
qemu-system-x86-firmware 9.0.2-1
qqc2-breeze-style 6.1.4-1
qqc2-desktop-style 6.5.0-1
qrencode 4.1.1-3
qt5-3d 5.15.14-1
qt5-charts 5.15.14-1
qt5-connectivity 5.15.14+kde+r3-1
qt5-datavis3d 5.15.14-1
qt5-doc 5.15.14-1
qt5-examples 5.15.14-1
qt5-gamepad 5.15.14-1
qt5-graphicaleffects 5.15.14-1
qt5-imageformats 5.15.14+kde+r7-1
qt5-location 5.15.14+kde+r7-1
qt5-lottie 5.15.14-1
qt5-multimedia 5.15.14+kde+r2-1
qt5-networkauth 5.15.14+kde+r1-1
qt5-purchasing 5.15.14-1
qt5-quick3d 5.15.14+kde+r1-1
